FOS,Friction_Angle,Cohesion,Slope_Angle,Rainfall_Intensity,Rainfall_Duration
0.537,15,0,30,10,0
0.532,15,0,30,10,1
0.528,15,0,30,10,2
0.525,15,0,30,10,3
0.522,15,0,30,10,4
0.51,15,0,30,10,8
0.501,15,0,30,10,12
0.495,15,0,30,10,16
0.49,15,0,30,10,20
0.486,15,0,30,10,24
0.54,15,0,30,30,0
0.523,15,0,30,30,1
0.504,15,0,30,30,2
0.488,15,0,30,30,3
0.476,15,0,30,30,4
0.445,15,0,30,30,8
0.424,15,0,30,30,12
0.405,15,0,30,30,16
0.387,15,0,30,30,20
0.373,15,0,30,30,24
0.54,15,0,30,60,0
0.498,15,0,30,60,1
0.463,15,0,30,60,2
0.436,15,0,30,60,3
0.416,15,0,30,60,4
0.362,15,0,30,60,8
0.323,15,0,30,60,12
0.293,15,0,30,60,16
0.27,15,0,30,60,20
0.256,15,0,30,60,24
0.88,15,5,30,10,0
0.879,15,5,30,10,1
0.878,15,5,30,10,2
0.877,15,5,30,10,3
0.876,15,5,30,10,4
0.873,15,5,30,10,8
0.87,15,5,30,10,12
0.866,15,5,30,10,16
0.863,15,5,30,10,20
0.86,15,5,30,10,24
0.881,15,5,30,30,0
0.877,15,5,30,30,1
0.874,15,5,30,30,2
0.87,15,5,30,30,3
0.867,15,5,30,30,4
0.853,15,5,30,30,8
0.838,15,5,30,30,12
0.823,15,5,30,30,16
0.811,15,5,30,30,20
0.801,15,5,30,30,24
0.881,15,5,30,60,0
0.873,15,5,30,60,1
0.866,15,5,30,60,2
0.859,15,5,30,60,3
0.85,15,5,30,60,4
0.814,15,5,30,60,8
0.782,15,5,30,60,12
0.758,15,5,30,60,16
0.745,15,5,30,60,20
0.737,15,5,30,60,24
1.161,15,10,30,10,0
1.16,15,10,30,10,1
1.159,15,10,30,10,2
1.158,15,10,30,10,3
1.157,15,10,30,10,4
1.154,15,10,30,10,8
1.15,15,10,30,10,12
1.147,15,10,30,10,16
1.144,15,10,30,10,20
1.141,15,10,30,10,24
1.162,15,10,30,30,0
1.158,15,10,30,30,1
1.155,15,10,30,30,2
1.152,15,10,30,30,3
1.149,15,10,30,30,4
1.136,15,10,30,30,8
1.124,15,10,30,30,12
1.111,15,10,30,30,16
1.098,15,10,30,30,20
1.088,15,10,30,30,24
1.162,15,10,30,60,0
1.155,15,10,30,60,1
1.148,15,10,30,60,2
1.141,15,10,30,60,3
1.135,15,10,30,60,4
1.107,15,10,30,60,8
1.074,15,10,30,60,12
1.051,15,10,30,60,16
1.037,15,10,30,60,20
1.03,15,10,30,60,24
1.424,15,15,30,10,0
1.424,15,15,30,10,1
1.423,15,15,30,10,2
1.422,15,15,30,10,3
1.421,15,15,30,10,4
1.419,15,15,30,10,8
1.415,15,15,30,10,12
1.412,15,15,30,10,16
1.41,15,15,30,10,20
1.407,15,15,30,10,24
1.425,15,15,30,30,0
1.422,15,15,30,30,1
1.42,15,15,30,30,2
1.417,15,15,30,30,3
1.414,15,15,30,30,4
1.403,15,15,30,30,8
1.393,15,15,30,30,12
1.383,15,15,30,30,16
1.371,15,15,30,30,20
1.362,15,15,30,30,24
1.425,15,15,30,60,0
1.419,15,15,30,60,1
1.414,15,15,30,60,2
1.408,15,15,30,60,3
1.402,15,15,30,60,4
1.379,15,15,30,60,8
1.349,15,15,30,60,12
1.328,15,15,30,60,16
1.315,15,15,30,60,20
1.308,15,15,30,60,24
1.684,15,20,30,10,0
1.683,15,20,30,10,1
1.682,15,20,30,10,2
1.682,15,20,30,10,3
1.681,15,20,30,10,4
1.678,15,20,30,10,8
1.675,15,20,30,10,12
1.672,15,20,30,10,16
1.669,15,20,30,10,20
1.667,15,20,30,10,24
1.685,15,20,30,30,0
1.682,15,20,30,30,1
1.679,15,20,30,30,2
1.677,15,20,30,30,3
1.674,15,20,30,30,4
1.663,15,20,30,30,8
1.653,15,20,30,30,12
1.642,15,20,30,30,16
1.63,15,20,30,30,20
1.621,15,20,30,30,24
1.685,15,20,30,60,0
1.679,15,20,30,60,1
1.673,15,20,30,60,2
1.667,15,20,30,60,3
1.662,15,20,30,60,4
1.639,15,20,30,60,8
1.609,15,20,30,60,12
1.587,15,20,30,60,16
1.575,15,20,30,60,20
1.568,15,20,30,60,24
0.728,20,0,30,10,0
0.722,20,0,30,10,1
0.716,20,0,30,10,2
0.712,20,0,30,10,3
0.708,20,0,30,10,4
0.69,20,0,30,10,8
0.678,20,0,30,10,12
0.67,20,0,30,10,16
0.664,20,0,30,10,20
0.658,20,0,30,10,24
0.732,20,0,30,30,0
0.71,20,0,30,30,1
0.683,20,0,30,30,2
0.661,20,0,30,30,3
0.645,20,0,30,30,4
0.603,20,0,30,30,8
0.575,20,0,30,30,12
0.549,20,0,30,30,16
0.525,20,0,30,30,20
0.505,20,0,30,30,24
0.732,20,0,30,60,0
0.674,20,0,30,60,1
0.627,20,0,30,60,2
0.591,20,0,30,60,3
0.564,20,0,30,60,4
0.491,20,0,30,60,8
0.438,20,0,30,60,12
0.397,20,0,30,60,16
0.373,20,0,30,60,20
0.347,20,0,30,60,24
1.087,20,5,30,10,0
1.084,20,5,30,10,1
1.083,20,5,30,10,2
1.081,20,5,30,10,3
1.08,20,5,30,10,4
1.074,20,5,30,10,8
1.068,20,5,30,10,12
1.062,20,5,30,10,16
1.056,20,5,30,10,20
1.052,20,5,30,10,24
1.088,20,5,30,30,0
1.081,20,5,30,30,1
1.076,20,5,30,30,2
1.07,20,5,30,30,3
1.065,20,5,30,30,4
1.042,20,5,30,30,8
1.021,20,5,30,30,12
1.001,20,5,30,30,16
0.985,20,5,30,30,20
0.971,20,5,30,30,24
1.088,20,5,30,60,0
1.075,20,5,30,60,1
1.063,20,5,30,60,2
1.051,20,5,30,60,3
1.038,20,5,30,60,4
0.989,20,5,30,60,8
0.946,20,5,30,60,12
0.915,20,5,30,60,16
0.896,20,5,30,60,20
0.887,20,5,30,60,24
1.376,20,10,30,10,0
1.375,20,10,30,10,1
1.373,20,10,30,10,2
1.372,20,10,30,10,3
1.371,20,10,30,10,4
1.367,20,10,30,10,8
1.362,20,10,30,10,12
1.357,20,10,30,10,16
1.354,20,10,30,10,20
1.35,20,10,30,10,24
1.377,20,10,30,30,0
1.372,20,10,30,30,1
1.368,20,10,30,30,2
1.364,20,10,30,30,3
1.359,20,10,30,30,4
1.343,20,10,30,30,8
1.327,20,10,30,30,12
1.31,20,10,30,30,16
1.292,20,10,30,30,20
1.278,20,10,30,30,24
1.377,20,10,30,60,0
1.367,20,10,30,60,1
1.358,20,10,30,60,2
1.349,20,10,30,60,3
1.34,20,10,30,60,4
1.303,20,10,30,60,8
1.259,20,10,30,60,12
1.228,20,10,30,60,16
1.21,20,10,30,60,20
1.2,20,10,30,60,24
1.655,20,15,30,10,0
1.654,20,15,30,10,1
1.652,20,15,30,10,2
1.651,20,15,30,10,3
1.65,20,15,30,10,4
1.645,20,15,30,10,8
1.641,20,15,30,10,12
1.636,20,15,30,10,16
1.632,20,15,30,10,20
1.628,20,15,30,10,24
1.656,20,15,30,30,0
1.652,20,15,30,30,1
1.647,20,15,30,30,2
1.643,20,15,30,30,3
1.639,20,15,30,30,4
1.622,20,15,30,30,8
1.606,20,15,30,30,12
1.588,20,15,30,30,16
1.57,20,15,30,30,20
1.556,20,15,30,30,24
1.656,20,15,30,60,0
1.647,20,15,30,60,1
1.638,20,15,30,60,2
1.629,20,15,30,60,3
1.62,20,15,30,60,4
1.582,20,15,30,60,8
1.537,20,15,30,60,12
1.506,20,15,30,60,16
1.488,20,15,30,60,20
1.477,20,15,30,60,24
1.915,20,20,30,10,0
1.914,20,20,30,10,1
1.913,20,20,30,10,2
1.912,20,20,30,10,3
1.911,20,20,30,10,4
1.907,20,20,30,10,8
1.903,20,20,30,10,12
1.899,20,20,30,10,16
1.895,20,20,30,10,20
1.892,20,20,30,10,24
1.916,20,20,30,30,0
1.912,20,20,30,30,1
1.908,20,20,30,30,2
1.905,20,20,30,30,3
1.901,20,20,30,30,4
1.886,20,20,30,30,8
1.873,20,20,30,30,12
1.859,20,20,30,30,16
1.842,20,20,30,30,20
1.83,20,20,30,30,24
1.918,20,20,30,60,0
1.908,20,20,30,60,1
1.9,20,20,30,60,2
1.892,20,20,30,60,3
1.885,20,20,30,60,4
1.853,20,20,30,60,8
1.813,20,20,30,60,12
1.784,20,20,30,60,16
1.766,20,20,30,60,20
1.756,20,20,30,60,24
0.932,25,0,30,10,0
0.924,25,0,30,10,1
0.917,25,0,30,10,2
0.911,25,0,30,10,3
0.906,25,0,30,10,4
0.883,25,0,30,10,8
0.868,25,0,30,10,12
0.858,25,0,30,10,16
0.85,25,0,30,10,20
0.843,25,0,30,10,24
0.937,25,0,30,30,0
0.909,25,0,30,30,1
0.874,25,0,30,30,2
0.846,25,0,30,30,3
0.825,25,0,30,30,4
0.772,25,0,30,30,8
0.736,25,0,30,30,12
0.703,25,0,30,30,16
0.672,25,0,30,30,20
0.647,25,0,30,30,24
0.937,25,0,30,60,0
0.862,25,0,30,60,1
0.802,25,0,30,60,2
0.757,25,0,30,60,3
0.723,25,0,30,60,4
0.628,25,0,30,60,8
0.561,25,0,30,60,12
0.509,25,0,30,60,16
0.477,25,0,30,60,20
0.444,25,0,30,60,24
1.3,25,5,30,10,0
1.298,25,5,30,10,1
1.295,25,5,30,10,2
1.293,25,5,30,10,3
1.291,25,5,30,10,4
1.284,25,5,30,10,8
1.276,25,5,30,10,12
1.268,25,5,30,10,16
1.262,25,5,30,10,20
1.256,25,5,30,10,24
1.302,25,5,30,30,0
1.293,25,5,30,30,1
1.286,25,5,30,30,2
1.279,25,5,30,30,3
1.272,25,5,30,30,4
1.243,25,5,30,30,8
1.217,25,5,30,30,12
1.192,25,5,30,30,16
1.171,25,5,30,30,20
1.153,25,5,30,30,24
1.302,25,5,30,60,0
1.285,25,5,30,60,1
1.27,25,5,30,60,2
1.254,25,5,30,60,3
1.238,25,5,30,60,4
1.176,25,5,30,60,8
1.122,25,5,30,60,12
1.081,25,5,30,60,16
1.058,25,5,30,60,20
1.045,25,5,30,60,24
1.604,25,10,30,10,0
1.602,25,10,30,10,1
1.6,25,10,30,10,2
1.599,25,10,30,10,3
1.597,25,10,30,10,4
1.592,25,10,30,10,8
1.587,25,10,30,10,12
1.581,25,10,30,10,16
1.577,25,10,30,10,20
1.572,25,10,30,10,24
1.606,25,10,30,30,0
1.599,25,10,30,30,1
1.594,25,10,30,30,2
1.588,25,10,30,30,3
1.582,25,10,30,30,4
1.561,25,10,30,30,8
1.541,25,10,30,30,12
1.515,25,10,30,30,16
1.494,25,10,30,30,20
1.476,25,10,30,30,24
1.606,25,10,30,60,0
1.593,25,10,30,60,1
1.58,25,10,30,60,2
1.569,25,10,30,60,3
1.557,25,10,30,60,4
1.5,25,10,30,60,8
1.444,25,10,30,60,12
1.404,25,10,30,60,16
1.38,25,10,30,60,20
1.367,25,10,30,60,24
1.885,25,15,30,10,0
1.883,25,15,30,10,1
1.881,25,15,30,10,2
1.88,25,15,30,10,3
1.878,25,15,30,10,4
1.873,25,15,30,10,8
1.867,25,15,30,10,12
1.861,25,15,30,10,16
1.856,25,15,30,10,20
1.851,25,15,30,10,24
1.886,25,15,30,30,0
1.88,25,15,30,30,1
1.875,25,15,30,30,2
1.87,25,15,30,30,3
1.864,25,15,30,30,4
1.842,25,15,30,30,8
1.822,25,15,30,30,12
1.8,25,15,30,30,16
1.777,25,15,30,30,20
1.759,25,15,30,30,24
1.886,25,15,30,60,0
1.874,25,15,30,60,1
1.863,25,15,30,60,2
1.852,25,15,30,60,3
1.84,25,15,30,60,4
1.792,25,15,30,60,8
1.735,25,15,30,60,12
1.695,25,15,30,60,16
1.671,25,15,30,60,20
1.659,25,15,30,60,24
2.162,25,20,30,10,0
2.16,25,20,30,10,1
2.159,25,20,30,10,2
2.157,25,20,30,10,3
2.156,25,20,30,10,4
2.151,25,20,30,10,8
2.145,25,20,30,10,12
2.139,25,20,30,10,16
2.134,25,20,30,10,20
2.13,25,20,30,10,24
2.163,25,20,30,30,0
2.158,25,20,30,30,1
2.153,25,20,30,30,2
2.149,25,20,30,30,3
2.143,25,20,30,30,4
2.121,25,20,30,30,8
2.1,25,20,30,30,12
2.078,25,20,30,30,16
2.055,25,20,30,30,20
2.037,25,20,30,30,24
2.163,25,20,30,60,0
2.153,25,20,30,60,1
2.142,25,20,30,60,2
2.131,25,20,30,60,3
2.119,25,20,30,60,4
2.07,25,20,30,60,8
2.013,25,20,30,60,12
1.973,25,20,30,60,16
1.949,25,20,30,60,20
1.936,25,20,30,60,24
1.152,30,0,30,10,0
1.143,30,0,30,10,1
1.135,30,0,30,10,2
1.127,30,0,30,10,3
1.121,30,0,30,10,4
1.092,30,0,30,10,8
1.073,30,0,30,10,12
1.06,30,0,30,10,16
1.05,30,0,30,10,20
1.042,30,0,30,10,24
1.159,30,0,30,30,0
1.124,30,0,30,30,1
1.08,30,0,30,30,2
1.045,30,0,30,30,3
1.02,30,0,30,30,4
0.955,30,0,30,30,8
0.91,30,0,30,30,12
0.869,30,0,30,30,16
0.832,30,0,30,30,20
0.8,30,0,30,30,24
1.159,30,0,30,60,0
1.066,30,0,30,60,1
0.992,30,0,30,60,2
0.936,30,0,30,60,3
0.894,30,0,30,60,4
0.777,30,0,30,60,8
0.694,30,0,30,60,12
0.63,30,0,30,60,16
0.59,30,0,30,60,20
0.549,30,0,30,60,24
1.531,30,5,30,10,0
1.528,30,5,30,10,1
1.525,30,5,30,10,2
1.522,30,5,30,10,3
1.52,30,5,30,10,4
1.511,30,5,30,10,8
1.501,30,5,30,10,12
1.492,30,5,30,10,16
1.485,30,5,30,10,20
1.478,30,5,30,10,24
1.534,30,5,30,30,0
1.523,30,5,30,30,1
1.514,30,5,30,30,2
1.505,30,5,30,30,3
1.496,30,5,30,30,4
1.462,30,5,30,30,8
1.43,30,5,30,30,12
1.399,30,5,30,30,16
1.373,30,5,30,30,20
1.351,30,5,30,30,24
1.534,30,5,30,60,0
1.512,30,5,30,60,1
1.494,30,5,30,60,2
1.474,30,5,30,60,3
1.456,30,5,30,60,4
1.379,30,5,30,60,8
1.31,30,5,30,60,12
1.258,30,5,30,60,16
1.227,30,5,30,60,20
1.209,30,5,30,60,24
1.851,30,10,30,10,0
1.849,30,10,30,10,1
1.846,30,10,30,10,2
1.844,30,10,30,10,3
1.842,30,10,30,10,4
1.835,30,10,30,10,8
1.825,30,10,30,10,12
1.816,30,10,30,10,16
1.808,30,10,30,10,20
1.801,30,10,30,10,24
1.853,30,10,30,30,0
1.845,30,10,30,30,1
1.837,30,10,30,30,2
1.829,30,10,30,30,3
1.82,30,10,30,30,4
1.785,30,10,30,30,8
1.753,30,10,30,30,12
1.722,30,10,30,30,16
1.695,30,10,30,30,20
1.673,30,10,30,30,24
1.853,30,10,30,60,0
1.836,30,10,30,60,1
1.818,30,10,30,60,2
1.798,30,10,30,60,3
1.78,30,10,30,60,4
1.703,30,10,30,60,8
1.634,30,10,30,60,12
1.584,30,10,30,60,16
1.555,30,10,30,60,20
1.539,30,10,30,60,24
2.134,30,15,30,10,0
2.132,30,15,30,10,1
2.13,30,15,30,10,2
2.128,30,15,30,10,3
2.126,30,15,30,10,4
2.119,30,15,30,10,8
2.112,30,15,30,10,12
2.105,30,15,30,10,16
2.099,30,15,30,10,20
2.093,30,15,30,10,24
2.136,30,15,30,30,0
2.128,30,15,30,30,1
2.121,30,15,30,30,2
2.114,30,15,30,30,3
2.107,30,15,30,30,4
2.081,30,15,30,30,8
2.057,30,15,30,30,12
2.03,30,15,30,30,16
2.001,30,15,30,30,20
1.98,30,15,30,30,24
2.136,30,15,30,60,0
2.12,30,15,30,60,1
2.105,30,15,30,60,2
2.09,30,15,30,60,3
2.076,30,15,30,60,4
2.018,30,15,30,60,8
1.949,30,15,30,60,12
1.9,30,15,30,60,16
1.872,30,15,30,60,20
1.856,30,15,30,60,24
2.413,30,20,30,10,0
2.41,30,20,30,10,1
2.408,30,20,30,10,2
2.406,30,20,30,10,3
2.404,30,20,30,10,4
2.397,30,20,30,10,8
2.39,30,20,30,10,12
2.383,30,20,30,10,16
2.377,30,20,30,10,20
2.371,30,20,30,10,24
2.415,30,20,30,30,0
2.407,30,20,30,30,1
2.4,30,20,30,30,2
2.394,30,20,30,30,3
2.387,30,20,30,30,4
2.36,30,20,30,30,8
2.335,30,20,30,30,12
2.307,30,20,30,30,16
2.279,30,20,30,30,20
2.257,30,20,30,30,24
2.415,30,20,30,60,0
2.4,30,20,30,60,1
2.386,30,20,30,60,2
2.372,30,20,30,60,3
2.358,30,20,30,60,4
2.298,30,20,30,60,8
2.227,30,20,30,60,12
2.178,30,20,30,60,16
2.149,30,20,30,60,20
2.133,30,20,30,60,24
0.336,15,0,45,10,0
0.332,15,0,45,10,1
0.33,15,0,45,10,2
0.329,15,0,45,10,3
0.328,15,0,45,10,4
0.321,15,0,45,10,8
0.318,15,0,45,10,12
0.315,15,0,45,10,16
0.314,15,0,45,10,20
0.313,15,0,45,10,24
0.336,15,0,45,30,0
0.328,15,0,45,30,1
0.317,15,0,45,30,2
0.31,15,0,45,30,3
0.304,15,0,45,30,4
0.289,15,0,45,30,8
0.278,15,0,45,30,12
0.267,15,0,45,30,16
0.254,15,0,45,30,20
0.243,15,0,45,30,24
0.336,15,0,45,60,0
0.313,15,0,45,60,1
0.292,15,0,45,60,2
0.276,15,0,45,60,3
0.263,15,0,45,60,4
0.234,15,0,45,60,8
0.206,15,0,45,60,12
0.188,15,0,45,60,16
0.181,15,0,45,60,20
0.178,15,0,45,60,24
0.696,15,5,45,10,0
0.694,15,5,45,10,1
0.693,15,5,45,10,2
0.691,15,5,45,10,3
0.69,15,5,45,10,4
0.688,15,5,45,10,8
0.684,15,5,45,10,12
0.68,15,5,45,10,16
0.677,15,5,45,10,20
0.673,15,5,45,10,24
0.696,15,5,45,30,0
0.691,15,5,45,30,1
0.688,15,5,45,30,2
0.686,15,5,45,30,3
0.683,15,5,45,30,4
0.669,15,5,45,30,8
0.656,15,5,45,30,12
0.644,15,5,45,30,16
0.637,15,5,45,30,20
0.631,15,5,45,30,24
0.696,15,5,45,60,0
0.688,15,5,45,60,1
0.681,15,5,45,60,2
0.673,15,5,45,60,3
0.665,15,5,45,60,4
0.634,15,5,45,60,8
0.612,15,5,45,60,12
0.599,15,5,45,60,16
0.594,15,5,45,60,20
0.592,15,5,45,60,24
0.966,15,10,45,10,0
0.965,15,10,45,10,1
0.97,15,10,45,10,2
0.969,15,10,45,10,3
0.968,15,10,45,10,4
0.962,15,10,45,10,8
0.96,15,10,45,10,12
0.958,15,10,45,10,16
0.956,15,10,45,10,20
0.954,15,10,45,10,24
0.966,15,10,45,30,0
0.969,15,10,45,30,1
0.967,15,10,45,30,2
0.962,15,10,45,30,3
0.96,15,10,45,30,4
0.952,15,10,45,30,8
0.945,15,10,45,30,12
0.935,15,10,45,30,16
0.926,15,10,45,30,20
0.92,15,10,45,30,24
0.966,15,10,45,60,0
0.967,15,10,45,60,1
0.96,15,10,45,60,2
0.955,15,10,45,60,3
0.95,15,10,45,60,4
0.929,15,10,45,60,8
0.905,15,10,45,60,12
0.891,15,10,45,60,16
0.886,15,10,45,60,20
0.884,15,10,45,60,24
1.221,15,15,45,10,0
1.22,15,15,45,10,1
1.219,15,15,45,10,2
1.218,15,15,45,10,3
1.217,15,15,45,10,4
1.215,15,15,45,10,8
1.213,15,15,45,10,12
1.211,15,15,45,10,16
1.192,15,15,45,10,20
1.197,15,15,45,10,24
1.221,15,15,45,30,0
1.218,15,15,45,30,1
1.216,15,15,45,30,2
1.215,15,15,45,30,3
1.213,15,15,45,30,4
1.192,15,15,45,30,8
1.188,15,15,45,30,12
1.18,15,15,45,30,16
1.17,15,15,45,30,20
1.164,15,15,45,30,24
1.221,15,15,45,60,0
1.216,15,15,45,60,1
1.212,15,15,45,60,2
1.208,15,15,45,60,3
1.187,15,15,45,60,4
1.175,15,15,45,60,8
1.15,15,15,45,60,12
1.136,15,15,45,60,16
1.13,15,15,45,60,20
1.128,15,15,45,60,24
1.464,15,20,45,10,0
1.463,15,20,45,10,1
1.462,15,20,45,10,2
1.461,15,20,45,10,3
1.46,15,20,45,10,4
1.458,15,20,45,10,8
1.457,15,20,45,10,12
1.454,15,20,45,10,16
1.452,15,20,45,10,20
1.451,15,20,45,10,24
1.464,15,20,45,30,0
1.461,15,20,45,30,1
1.459,15,20,45,30,2
1.458,15,20,45,30,3
1.456,15,20,45,30,4
1.449,15,20,45,30,8
1.441,15,20,45,30,12
1.433,15,20,45,30,16
1.423,15,20,45,30,20
1.417,15,20,45,30,24
1.464,15,20,45,60,0
1.459,15,20,45,60,1
1.456,15,20,45,60,2
1.451,15,20,45,60,3
1.447,15,20,45,60,4
1.429,15,20,45,60,8
1.404,15,20,45,60,12
